epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,1355.41,0.37388,0.05743,0.03113,0.2935,0.84318,0.97342,0.97665,0.99252,0.88141,0.97342,0.97665,0.99252,0.99252,0.54948,0.07224,0.00945,0.57683,0.81818,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,1418.55,0.36891,0.05355,0.02952,0.30003,0.8441,0.97039,0.97778,0.99231,0.87854,0.97039,0.97778,0.99231,0.99231,0.56097,0.06313,0.01863,0.5194,0.81865,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,1481.71,0.35798,0.05354,0.02693,0.28656,0.83882,0.97929,0.94558,0.99146,0.88527,0.97929,0.94558,0.99146,0.99146,0.56504,0.06016,0.01332,0.69378,0.82685,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,1545.07,0.35668,0.0478,0.02507,0.2829,0.8402,0.97799,0.97111,0.99199,0.86562,0.97799,0.97111,0.99199,0.99192,0.58777,0.05313,0.01563,0.65316,0.83031,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,1608.81,0.3522,0.04974,0.02639,0.28068,0.83888,0.93935,0.96362,0.98632,0.87369,0.93935,0.96362,0.98562,0.98535,0.63345,0.09055,0.01619,0.64828,0.82599,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,1672.08,0.34455,0.04681,0.02478,0.27943,0.84021,0.97228,0.96222,0.99107,0.88532,0.97228,0.96222,0.99107,0.99102,0.56268,0.08303,0.0278,0.62188,0.83626,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,1734.57,0.34122,0.0477,0.02608,0.27421,0.83727,0.97642,0.97778,0.99328,0.90339,0.97642,0.97778,0.99328,0.99295,0.51148,0.06752,0.02227,0.4834,0.83668,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,1797.86,0.33079,0.04679,0.02174,0.26569,0.83537,0.95648,0.96444,0.98889,0.89557,0.95648,0.96444,0.98889,0.98872,0.52568,0.08213,0.01209,0.49546,0.83688,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,1861.26,0.32657,0.04145,0.02276,0.26195,0.83706,0.95348,0.9564,0.98904,0.89707,0.95348,0.9564,0.98904,0.98904,0.53275,0.05251,0.01354,0.55465,0.82622,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,1924.59,0.32018,0.04587,0.02323,0.26115,0.83359,0.95006,0.97239,0.98942,0.88667,0.95006,0.97239,0.98942,0.98942,0.54427,0.05698,0.01073,0.55637,0.82435,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
