epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,1516.46,1.20101,1.71539,1.85573,1.13321,0,0.48136,0.5,0.4356,0.22833,0.51354,0.46711,0.42349,0.1846,1.4484,1.63096,2.10167,1.18167,0,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,1582.23,1.17667,1.72824,1.86537,1.11077,0,0.46107,0.54605,0.44955,0.23491,0.55268,0.47368,0.43881,0.19323,1.45554,1.63921,2.04608,1.18506,0,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,1648.39,1.25698,1.719,1.77598,1.15165,0,0.54587,0.52194,0.46215,0.24809,0.53333,0.51128,0.44563,0.20326,1.43323,1.64878,1.98049,1.17825,0,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,1713.7,1.2132,1.68616,1.64603,1.12101,0,0.49321,0.58553,0.46319,0.25661,0.49875,0.59211,0.4537,0.20918,1.42814,1.66058,1.92507,1.1743,0,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,1777.7,1.17461,1.64502,1.68092,1.12031,0,0.49967,0.60526,0.46985,0.26228,0.50648,0.60526,0.46104,0.21504,1.4068,1.65339,1.8736,1.17875,0,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,1843.11,1.12447,1.56017,1.61143,1.07444,0,0.5343,0.59211,0.4955,0.27955,0.52229,0.58263,0.47397,0.21685,1.37305,1.65399,1.81745,1.16661,0,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,1909.59,1.16175,1.61592,1.57457,1.08609,0,0.5036,0.66447,0.50319,0.29172,0.52599,0.59868,0.48168,0.22782,1.33581,1.64141,1.77753,1.14786,0,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,1975.58,1.12491,1.61586,1.66026,1.09291,0,0.53208,0.65789,0.51799,0.30543,0.51464,0.63816,0.49604,0.23518,1.31104,1.63468,1.74329,1.15193,0,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,2032.09,1.09945,1.69488,1.64171,1.06339,0,0.53208,0.65789,0.51799,0.30543,0.51464,0.63816,0.49604,0.23518,1.31104,1.63468,1.74329,1.15193,0,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,2098.89,1.09408,1.59376,1.6285,1.06356,0,0.5333,0.69737,0.52926,0.31432,0.50815,0.66447,0.5007,0.23967,1.29636,1.62875,1.7065,1.15094,0,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,2164.36,1.15604,1.59677,1.54269,1.04382,0,0.52788,0.69737,0.54389,0.3219,0.49981,0.67712,0.51472,0.24401,1.29518,1.6247,1.67438,1.14768,0,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,2230.63,1.10664,1.58022,1.55358,1.07949,0,0.53776,0.69737,0.55009,0.31904,0.51579,0.67105,0.51772,0.24645,1.31581,1.63838,1.66555,1.14713,0,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,2296.52,1.15924,1.61251,1.5408,1.08498,0,0.55586,0.67763,0.55945,0.32695,0.52224,0.65132,0.52938,0.24818,1.29469,1.62819,1.64469,1.14151,0,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,2361.7,1.16511,1.65499,1.6015,1.07703,0,0.55812,0.65789,0.55485,0.33681,0.5406,0.63816,0.54096,0.2563,1.26106,1.61099,1.62755,1.13403,0,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,2427.54,1.05588,1.55402,1.52799,1.03741,0,0.58064,0.63816,0.56252,0.34639,0.57318,0.625,0.55017,0.26178,1.25623,1.60327,1.61541,1.12426,0,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,2492.74,1.06411,1.48604,1.4277,1.03277,0,0.60752,0.64158,0.56801,0.34477,0.6002,0.62224,0.54782,0.26272,1.27153,1.6052,1.60699,1.12377,0,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,2549.53,1.08013,1.46823,1.39003,1.03155,0,0.60752,0.64158,0.56801,0.34477,0.6002,0.62224,0.54782,0.26272,1.27153,1.6052,1.60699,1.12377,0,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,2614.74,1.00496,1.37712,1.34891,1.01786,0,0.61487,0.65121,0.5693,0.34238,0.61308,0.61505,0.55177,0.2618,1.2844,1.61565,1.60501,1.1215,0,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,2680.25,1.10284,1.54781,1.43222,1.02643,0,0.61031,0.66447,0.56824,0.34385,0.5812,0.65789,0.55283,0.26007,1.27708,1.62535,1.60828,1.11613,0,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,2743.06,1.06279,1.4908,1.93121,1.04712,0,0.61873,0.66447,0.57022,0.33608,0.59046,0.63816,0.55015,0.25336,1.28658,1.65038,1.61812,1.11913,0,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,2804.96,1.19487,1.50891,2.09931,1.11581,0,0.57837,0.73026,0.56779,0.33091,0.54974,0.66671,0.53871,0.24879,1.29197,1.67899,1.63858,1.13385,0,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,2867.1,1.16813,1.50217,2.32723,1.18626,0,0.60186,0.73026,0.56855,0.32443,0.55434,0.70377,0.53309,0.24063,1.3094,1.71303,1.6676,1.14938,0,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,2929.11,1.07542,1.49298,1.99305,1.06546,0,0.58128,0.71711,0.56535,0.3201,0.54148,0.67105,0.51489,0.23195,1.32343,1.74477,1.69386,1.16324,0,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,2990.91,1.07076,1.50142,2.00666,1.06486,0,0.58998,0.69079,0.56141,0.31528,0.5408,0.63158,0.49444,0.22358,1.32518,1.76114,1.70625,1.16552,0,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,3045.21,1.13471,1.60714,1.95919,1.08924,0,0.58998,0.69079,0.56141,0.31528,0.5408,0.63158,0.49444,0.22358,1.32518,1.76114,1.70625,1.16552,0,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,3107.47,1.08861,1.51994,1.94971,1.04193,0,0.58446,0.70395,0.55947,0.31485,0.53675,0.63158,0.49685,0.22281,1.32917,1.78147,1.72799,1.1692,0,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,3170.12,1.09053,1.553,1.91637,1.02694,0,0.59332,0.69079,0.56585,0.3132,0.54685,0.63158,0.50378,0.22287,1.33845,1.78875,1.75264,1.18073,0,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,3232.94,1.07019,1.42185,1.91472,1.04577,0,0.57999,0.67228,0.56542,0.31196,0.54454,0.625,0.50513,0.22078,1.35958,1.79377,1.77232,1.19253,0,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,3295.3,1.06116,1.46839,1.86107,1.07128,0,0.56049,0.67959,0.56105,0.30796,0.54979,0.61061,0.50107,0.21996,1.36388,1.7984,1.78872,1.19583,0,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
